EventName,캐릭터 이름,대사
추락,카렌,- - -. - - 선. - 선배- - ! -
,노엘,윽…
,카렌,-선배! 선배 괜찮아요?
,노엘,어…
,,괜찮아. 젠장 갑자기 무너져서는. 여긴 어디지?
,카렌,음 진짜 괜찮은거 맞죠?
,,거긴 아마 제 7 물질 정화조 일거예요.
,노엘,제 7 물질 정화조?
,카렌,네. 이 시설에 있는 정화조 9개중 7번째에요. 선배가 좀 많이 떨어지셨거든요.
,노엘,쯧. 목적지보다 한참은 아래군.
,카렌,네. 그렇죠. 일단 위로 향해야 해요.
,,근데 밟아볼만한 곳은 있어요?
,노엘,충분히 가볼만 한 것 같군… 출발하도록 하지
,카렌,넵 그럼 저는 계속 길을 찾아보고 있도록 하겠습니다!
end,,
,,
스팀대쉬,노엘,음…
,카렌,선배?
,,혹시 문제라도 있나요?
,노엘,아… 거리가 좀 되어 보이네.
,카렌,그럼 다른 길을 찾아볼게요.
,노엘,아니 잠시만 기다려봐.
end,,
,,
스팀대쉬획득,노엘,음…
,,이거면 조금 더 멀리 뛸 수 있겠지.
,카렌,뭐라도 있었나요?
,노엘,이 시설에 붙어있던 소형 증기분출기를 조금 손봤어.
,,출력이 꽤 강한 장치니까 꽤 쓸만 할거야.
,카렌,와…
,,굉장하네요. 현장에서 즉석으로 그렇게…
,노엘,됐다. 다시 출발하자
end,,
,,
부상동료,부상당한 작업자,악!
,,아파. 아프다고… 
,,독 때문에 죽을 것 같으니까 건드지마 
,부상을입은작업자2,뭔일이 있었던 거야…
,,폭탄 터지는 소리가 나고 사이렌이 막 울리더니…
,구조팀신참,이렇게 심한 현장은 처음봐요…
,,"무슨,"
,,무슨 일이 있었던 거죠?
end,,
,,
이안노엘1,이안,9년째 근무중에 이렇게 큰 사건도 오랜만이지?
,,"중앙정제장치까지 진입해서 전원을 꺼라" 라…
,,외부에 원격통제기조차 없는 건가? 아님 망가졌나.
,노엘,너가 현장에 다나오고. 의왼데. 
,이안,좀.. 그렇긴 하지. 오랜만에 몸이나 풀어야겠어
,,난 자료 좀 정리해서 갈테니 먼저 준비하고 있을래?
,,이쪽은 또 내 전공이니까.
,노엘,그래라
end,,
,,
기본조작,노엘,…! 진동이!
,카렌,선배! 거기 무너질지도 몰라요. 나와요 빨리!
end,,
,,
컷신1,세이지아,후…
,세이지아무전,긴장돼?
,세이지아,!!!! 아.. 아니에요!
,세이지아무전,뭐야~ 가기 전엔 열심히 하겠다고 의욕 넘치지 않았어?
,세이지아무전,그럼 힘내봐!
,세이지아,으…
end,,
,,
컷신2,이안,많이 기다렸어?
,,사전조사를 좀 해야해서~
,,내부에 퍼져있을 것으로 추정되는 독극물에 대해 조사해봤는데.
,,자세한건 아직 더 조사해봐야 알아.
